model,shape,horizon,state_mse,input_mse
helicopter,circle,8,0.000586,0.007565
helicopter,circle,9,0.000358,0.007525
helicopter,circle,10,0.000902,0.008201
helicopter,circle,11,0.000541,0.007437
helicopter,circle,12,0.000415,0.007491
helicopter,circle,13,0.000721,0.008078
helicopter,circle,14,0.000299,0.007610
helicopter,circle,15,0.000572,0.008690
helicopter,circle,16,0.000334,0.008094
helicopter,circle,17,0.000662,0.007793
helicopter,circle,18,0.000696,0.008237
helicopter,circle,19,0.000580,0.007912
helicopter,circle,20,0.000725,0.008224
